abtrocknen	verb		Nach dem Essen trockne ich das Geschirr ab.	After the meal I dry up the dishes.
abwaschen	verb		Heute Abend muss ich abwaschen.	This evening I have to wash up.
anmachen	verb		Mach bitte das Licht an, es ist dunkel.	Please turn on the light, it's dark.
anziehen (sich)	verb		Zieh dir eine warme Jacke an!	Put on a warm jacket!
aufstehen	verb		Ich stehe jeden Morgen um sieben Uhr auf.	I get up at seven o'clock every morning.
aufwachen	verb		Heute bin ich schon um fünf Uhr aufgewacht.	Today I woke up at five o'clock already.
auskommen mit	verb		Ich komme mit meiner Schwester sehr gut aus.	I get on very well with my sister.
ausruhen (sich)	verb		Nach der Arbeit ruhe ich mich eine Stunde aus.	After work I have a rest for an hour.
aussehen	verb		Du siehst heute sehr müde aus.	You look very tired today.
ausziehen (sich)	verb		Zieh dir die nassen Schuhe aus!	Take off your wet shoes!
backen	verb		Meine Mutter backt jeden Sonntag einen Kuchen.	My mother bakes a cake every Sunday.
beschreiben	verb		Kannst du dein Zimmer kurz beschreiben?	Can you describe your room briefly?
Buchstabe	noun	der	Das deutsche Alphabet hat sechsundzwanzig Buchstaben.	The German alphabet has twenty-six letters.
buchstabieren	verb		Können Sie Ihren Namen bitte buchstabieren?	Could you spell your name, please?
bügeln (Bügeleisen)	verb		Am Sonntag bügle ich meine Hemden.	On Sunday I iron my shirts.
bürsten	verb		Sie bürstet sich jeden Morgen die Haare.	She brushes her hair every morning.
decken	verb		Kannst du bitte den Tisch decken?	Can you lay the table, please?
einschlafen	verb		Gestern bin ich vor dem Fernseher eingeschlafen.	Yesterday I fell asleep in front of the TV.
hinlegen (sich)	verb		Ich lege mich kurz hin, ich bin müde.	I'm going to lie down for a bit, I'm tired.
hinsetzen (sich)	verb		Setz dich bitte hin, das Essen ist fertig.	Please sit down, the meal is ready.
kehren	verb		Mein Vater kehrt jeden Samstag den Hof.	My father sweeps the yard every Saturday.
leer	adjective		Der Kühlschrank ist schon wieder leer.	The fridge is empty again.
leeren	verb		Bitte leere den Mülleimer in der Küche.	Please empty the bin in the kitchen.
legen	verb		Leg das Buch bitte auf den Tisch.	Please put the book on the table.
Liebe	noun	die	Die Liebe zur Musik hat sie von ihrem Vater.	She gets her love of music from her father.
lieben	verb		Ich liebe meine Familie über alles.	I love my family more than anything.
liegen	verb		Die Katze liegt den ganzen Tag auf dem Sofa.	The cat lies on the sofa all day.
mähen	verb		Im Sommer mähe ich jede Woche den Rasen.	In summer I mow the lawn every week.
organisieren	verb		Wir organisieren eine Party für unsere Eltern.	We are organising a party for our parents.
putzen	verb		Am Samstag putze ich mein Zimmer.	On Saturday I clean my room.
schlafen	verb		Am Wochenende schlafe ich gern lange.	At the weekend I like to sleep in.
schneiden	verb		Kannst du bitte das Brot schneiden?	Can you cut the bread, please?
sitzen (sich setzen)	verb		Wir sitzen abends oft im Garten.	In the evening we often sit in the garden.
spülen (abspülen)	verb		Ich spüle das Geschirr, du trocknest ab.	I'll wash up the dishes, you dry them.
Staub saugen	verb		Jeden Freitag sauge ich im Wohnzimmer Staub.	Every Friday I hoover in the living room.
stecken	verb		Er steckte den Brief in die Tasche.	He put the letter into his pocket.
stehen	verb		Der Schrank steht neben dem Fenster.	The cupboard stands next to the window.
stellen	verb		Stell die Blumen bitte auf den Tisch.	Please put the flowers on the table.
Teil	noun	der	Ein Teil des Hauses wird gerade renoviert.	Part of the house is being renovated at the moment.
teilen	verb		Ich teile mir ein Zimmer mit meinem Bruder.	I share a room with my brother.
trocken	adjective		Die Wäsche ist noch nicht ganz trocken.	The washing is not quite dry yet.
trocknen	verb		Die Handtücher trocknen draußen in der Sonne.	The towels are drying outside in the sun.
umziehen (sich)	verb		Nächsten Monat ziehen wir nach Köln um.	Next month we are moving house to Cologne.
vorbereiten	verb		Ich bereite gerade das Abendessen vor.	I am just preparing the evening meal.
waschen (sich)	verb		Ich wasche mir vor dem Essen die Hände.	I wash my hands before the meal.
wecken	verb		Kannst du mich morgen um sechs Uhr wecken?	Can you wake me at six o'clock tomorrow?
wiegen	verb		Das Paket wiegt fast zwei Kilo.	The parcel weighs almost two kilos.
zunehmen	verb		Die Kinder nehmen in diesem Alter schnell zu.	Children grow quickly at this age.
Adresse	noun	die	Kannst du mir deine neue Adresse geben?	Can you give me your new address?
Alter	noun	das	In meinem Alter ist Sport besonders wichtig.	At my age sport is particularly important.
Bart	noun	der	Mein Onkel hat einen langen grauen Bart.	My uncle has a long grey beard.
Brille	noun	die	Ohne meine Brille kann ich nichts lesen.	Without my glasses I can't read anything.
Familienname	noun	der	Wie schreibt man Ihren Familiennamen?	How do you spell your surname?
geboren	adjective		Ich bin in Hamburg geboren.	I was born in Hamburg.
Geburts(tag / ort)	noun	der	Mein Geburtstag ist am dritten Mai.	My birthday is on the third of May.
Heimat	noun	die	Österreich ist die Heimat meiner Großeltern.	Austria is my grandparents' home.
