Affe	noun	der	Im Zoo haben die Affen die Kinder begeistert.	At the zoo the monkeys delighted the children.
anders(wo)	adverb		Im Urlaub war alles ganz anders als zu Hause.	On holiday everything was quite different from home.
Anmeldung	noun	die	Bitte melden Sie sich zuerst an der Anmeldung.	Please report to reception first.
annehmen	verb		Wir haben die Einladung gern angenommen.	We gladly accepted the invitation.
anrufen	verb		Ich rufe dich morgen aus dem Hotel an.	I'll phone you from the hotel tomorrow.
Aufenthalt	noun	der	Unser Aufenthalt in Wien war zu kurz.	Our stay in Vienna was too short.
Aufzug	noun	der	Der Aufzug im Hotel ist leider kaputt.	Unfortunately the lift in the hotel is broken.
Ausflug	noun	der	Am Sonntag machen wir einen Ausflug ans Meer.	On Sunday we are making a trip to the sea.
ausfüllen	verb		Bitte füllen Sie dieses Formular aus.	Please fill in this form.
Auskunft	noun	die	Die Auskunft im Hotel war sehr hilfreich.	The information desk in the hotel was very helpful.
Ausland (ins / im)	noun	das	Im Sommer fahren wir ins Ausland.	In summer we are going abroad.
Ausländer/in	noun	der	In dieser Stadt leben viele Ausländer.	Many foreigners live in this town.
Aussicht	noun	die	Vom Zimmer hatten wir eine tolle Aussicht.	From the room we had a great view.
Auswahl	noun	die	Im Reisebüro gibt es eine große Auswahl an Reisen.	At the travel agent's there is a big choice of trips.
Ausweis	noun	der	An der Grenze muss man den Ausweis zeigen.	At the border you have to show your identity card.
Bär	noun	der	Im Wald leben in dieser Gegend noch Bären.	Bears still live in the forest in this area.
bedienen	verb		Der Kellner hat uns sehr freundlich bedient.	The waiter served us very kindly.
Bedienung	noun	die	Die Bedienung im Restaurant war schnell.	The service in the restaurant was quick.
Bett (Einzel / Doppel)	noun	das	Wir hätten gern ein Zimmer mit zwei Betten.	We would like a room with two beds.
Bettwäsche	noun	die	Die Bettwäsche wird jeden dritten Tag gewechselt.	The bedlinen is changed every third day.
bedecken	verb		Dichte Wolken bedeckten den ganzen Himmel.	Thick clouds covered the whole sky.
bedeckt	adjective		Heute ist der Himmel den ganzen Tag bedeckt.	Today the sky is overcast all day.
bewölkt	adjective		Am Nachmittag wird es stark bewölkt.	In the afternoon it will become very cloudy.
donnern	verb		Es hat die ganze Nacht gedonnert.	It thundered all night.
dunkel	adjective		Im Winter wird es schon um vier Uhr dunkel.	In winter it gets dark at four o'clock.
frieren	verb		Ohne Jacke friere ich sofort.	Without a jacket I freeze immediately.
Gewitter	noun	das	Am Abend gab es ein starkes Gewitter.	In the evening there was a heavy thunderstorm.
Hagel	noun	der	Der Hagel hat die Blumen kaputt gemacht.	The hail ruined the flowers.
hageln	verb		Gestern hat es plötzlich gehagelt.	Yesterday it suddenly hailed.
heiß	adjective		Im August war es hier sehr heiß.	In August it was very hot here.
heiter	adjective		Morgen wird es heiter und trocken.	Tomorrow it will be bright and dry.
Hitze	noun	die	Bei dieser Hitze bleibe ich lieber drinnen.	In this heat I'd rather stay inside.
kalt	adjective		Im Januar ist es hier meistens kalt.	In January it is usually cold here.
Klima	noun	das	Das Klima am Meer ist milder.	The climate by the sea is milder.
kühl	adjective		Am Abend wird es am See kühl.	In the evening it gets cool by the lake.
Löwe	noun	der	Im Zoo haben wir zwei Löwen gesehen.	At the zoo we saw two lions.
nass	adjective		Nach dem Regen waren meine Schuhe ganz nass.	After the rain my shoes were completely wet.
Nebel (nebelig)	noun	der	Am Morgen lag dichter Nebel über dem Tal.	In the morning thick fog lay over the valley.
Regen(mantel)	noun	der	Der Regen hat den ganzen Tag nicht aufgehört.	The rain didn't stop all day.
Regenschirm	noun	der	Nimm lieber einen Regenschirm mit!	You'd better take an umbrella with you!
regnen	verb		Es regnet seit heute Morgen ohne Pause.	It has been raining non-stop since this morning.
regnerisch	adjective		Das Wetter bleibt bis Freitag regnerisch.	The weather stays rainy until Friday.
Schauer	noun	der	Am Nachmittag gibt es einzelne Schauer.	In the afternoon there will be occasional showers.
scheinen	verb		Heute scheint endlich wieder die Sonne.	Today the sun is finally shining again.
Schnee	noun	der	Im Gebirge liegt schon Schnee.	There is already snow in the mountains.
schneien	verb		Gestern hat es den ganzen Tag geschneit.	Yesterday it snowed all day.
schön	adjective		Am Wochenende soll das Wetter schön werden.	At the weekend the weather is supposed to be fine.
sich sonnen	verb		Am Strand haben wir uns stundenlang gesonnt.	On the beach we sunbathed for hours.
Sonne	noun	die	Die Sonne scheint heute den ganzen Tag.	The sun is shining all day today.
sonnig	adjective		Morgen wird es sonnig und warm.	Tomorrow it will be sunny and warm.
Sturm / stürmisch	noun	der	In der Nacht kam ein starker Sturm auf.	A strong storm blew up in the night.
Wetter(bericht / vorhersage)	noun	das	Das Wetter war im Urlaub leider schlecht.	Unfortunately the weather was bad on holiday.
windig	adjective		An der Küste ist es oft sehr windig.	On the coast it is often very windy.
Wolke (wolkenlos)	noun	die	Am Himmel war keine einzige Wolke.	There was not a single cloud in the sky.
wolkig	adjective		Heute bleibt es wolkig, aber trocken.	Today it stays cloudy but dry.
Blick	noun	der	Vom Balkon hat man einen schönen Blick.	From the balcony you have a lovely view.
bleiben	verb		Wir bleiben eine Woche in den Bergen.	We are staying in the mountains for a week.
Broschüre	noun	die	Im Hotel lag eine Broschüre über die Stadt.	In the hotel there was a brochure about the town.
Campingplatz	noun	der	Der Campingplatz liegt direkt am See.	The camp site is right by the lake.
Empfang(sdame)	noun	der	Der Empfang ist rund um die Uhr besetzt.	Reception is staffed around the clock.
Ferien	noun	die	In den Ferien fahren wir nach Italien.	In the holidays we are going to Italy.
Formular	noun	das	Bitte unterschreiben Sie das Formular.	Please sign the form.
Fotoapparat	noun	der	Ich habe meinen Fotoapparat im Hotel vergessen.	I forgot my camera at the hotel.
Fotograf/in	noun	der	Der Fotograf hat tolle Bilder gemacht.	The photographer took great pictures.
Fundbüro	noun	das	Meine Tasche war zum Glück im Fundbüro.	Luckily my bag was in the lost property office.
Gast	noun	der	Unser Gast bleibt bis Sonntag.	Our guest is staying until Sunday.
Gastgeber	noun	der	Unser Gastgeber hat uns die Stadt gezeigt.	Our host showed us the town.
Gasthaus / Gasthof	noun	das	Wir haben im Gasthaus am Markt gegessen.	We ate at the pub on the market place.
Gaststätte	noun	die	In der Gaststätte gibt es gutes deutsches Essen.	In the restaurant there is good German food.
Gepäck	noun	das	Unser Gepäck ist leider nicht angekommen.	Unfortunately our luggage did not arrive.
gültig	adjective		Diese Fahrkarte ist zwei Tage gültig.	This ticket is valid for two days.
Herbergseltern	noun	die	Die Herbergseltern waren sehr freundlich.	The youth hostel wardens were very friendly.
Insel	noun	die	Wir haben eine Woche auf einer Insel verbracht.	We spent a week on an island.
Jugendherberge	noun	die	In der Jugendherberge ist die Übernachtung billig.	In the youth hostel the overnight stay is cheap.
Koffer	noun	der	Mein Koffer ist viel zu schwer.	My suitcase is far too heavy.
Küste	noun	die	An der Küste weht immer ein frischer Wind.	On the coast a fresh wind always blows.
Lagerfeuer	noun	das	Abends saßen wir am Lagerfeuer.	In the evening we sat by the camp fire.
Land (auf dem / aufs)	noun	das	Im Sommer fahren wir gern aufs Land.	In summer we like going to the country.
Landkarte	noun	die	Ohne Landkarte hätten wir uns verlaufen.	Without a map we would have got lost.
Landschaft	noun	die	Die Landschaft in Bayern ist wunderschön.	The scenery in Bavaria is beautiful.
Luxus	noun	der	So ein Hotel ist für uns purer Luxus.	Such a hotel is pure luxury for us.
Meer	noun	das	Im Sommer fahren wir ans Meer.	In summer we go to the sea.
mitnehmen	verb		Nimm bitte deinen Regenschirm mit!	Please take your umbrella with you!
Ort	noun	der	Dieser Ort hat nur dreihundert Einwohner.	This place has only three hundred inhabitants.
Pass (Reisepass)	noun	der	An der Grenze wurde mein Pass kontrolliert.	At the border my passport was checked.
Pension (Vollpension)	noun	die	Wir haben in einer kleinen Pension übernachtet.	We stayed the night in a small boarding house.
Personalausweis	noun	der	Für die Anmeldung braucht man einen Personalausweis.	For the registration you need an identity card.
Prospekt	noun	der	Im Verkehrsamt bekommt man einen Prospekt.	At the tourist office you can get a leaflet.
Reise	noun	die	Die Reise nach Australien war unvergesslich.	The journey to Australia was unforgettable.
Reisebüro	noun	das	Im Reisebüro haben wir den Flug gebucht.	We booked the flight at the travel agent's.
Reisebus	noun	der	Wir sind mit dem Reisebus nach Prag gefahren.	We went to Prague by coach.
reisen	verb		Ich reise am liebsten mit dem Zug.	I like travelling by train best.
Reisende(r)	noun	der	Die Reisenden warteten am Gleis.	The travellers waited on the platform.
Reisescheck	noun	der	Früher nahm man Reiseschecks mit in den Urlaub.	People used to take traveller's cheques on holiday.
Reiseziel	noun	das	Unser Reiseziel war dieses Jahr Schottland.	Our destination this year was Scotland.
Sand(burg)	noun	der	Die Kinder haben am Strand eine Sandburg gebaut.	The children built a sandcastle on the beach.
Scheckheft	noun	das	Mein Scheckheft liegt noch zu Hause.	My cheque book is still at home.
Schlafsack	noun	der	Im Zelt schlafe ich in einem warmen Schlafsack.	In the tent I sleep in a warm sleeping bag.
Sonnenbrand	noun	der	Nach dem ersten Tag hatte ich einen Sonnenbrand.	After the first day I had sunburn.
Sonnencreme	noun	die	Vergiss die Sonnencreme für den Strand nicht!	Don't forget the sun cream for the beach!
Steward/ess	noun	der	Die Stewardess hat uns Getränke gebracht.	The air hostess brought us drinks.
Strand	noun	der	Am Strand war es heute sehr voll.	The beach was very crowded today.
suchen	verb		Ich suche seit einer Stunde meinen Pass.	I have been looking for my passport for an hour.
Taschenlampe	noun	die	Für das Zelt brauchen wir eine Taschenlampe.	For the tent we need a torch.
Taschenmesser	noun	das	Sein Taschenmesser hat er immer dabei.	He always has his pocket knife with him.
Überfahrt	noun	die	Die Überfahrt nach England dauert sechs Stunden.	The crossing to England takes six hours.
übernachten	verb		Wir übernachten zwei Nächte in München.	We are staying two nights in Munich.
Unterkunft	noun	die	Die Unterkunft war einfach, aber sauber.	The accommodation was simple but clean.
unterwegs	adverb		Wir waren den ganzen Tag unterwegs.	We were on the way all day.
Urlaub	noun	der	Im Urlaub möchte ich mich richtig erholen.	On holiday I want to really relax.
Welle	noun	die	Die Wellen am Meer waren sehr hoch.	The waves at the sea were very high.
Wohnwagen	noun	der	Wir fahren mit dem Wohnwagen nach Frankreich.	We are going to France with the caravan.
Zelt	noun	das	Unser Zelt steht direkt neben dem Wald.	Our tent is right next to the forest.
zelten	verb		Im Sommer zelten wir gern am See.	In summer we like camping by the lake.
Zimmer (Einzel-, Doppel-, Familien-)	noun	das	Wir möchten ein Doppelzimmer für drei Nächte.	We would like a double room for three nights.
Zimmer frei	other		An dem Haus hing ein Schild „Zimmer frei“.	There was a sign "rooms available" on the house.
Zimmermädchen	noun	das	Das Zimmermädchen kommt jeden Morgen.	The maid comes every morning.
Aufenthaltsdauer	noun	die	Wie lang ist Ihre Aufenthaltsdauer in Berlin?	How long is your stay in Berlin?
Aufheiterungen	noun	die	Am Nachmittag gibt es einzelne Aufheiterungen.	In the afternoon there will be a few bright periods.
austauschen	verb		Wir haben unsere Adressen ausgetauscht.	We exchanged our addresses.
entkommen	verb		Der Vogel ist aus dem Käfig entkommen.	The bird escaped from the cage.
entscheiden	verb		Wir müssen uns heute für ein Hotel entscheiden.	We have to decide on a hotel today.
entspannen (sich)	verb		Im Urlaub kann ich mich endlich entspannen.	On holiday I can finally relax.
feucht	adjective		Die Luft am Meer ist sehr feucht.	The air by the sea is very humid.
Fremdenführer	noun	der	Der Fremdenführer sprach sehr gut Englisch.	The tour guide spoke very good English.
freuen (sich) auf	verb		Ich freue mich schon auf die Ferien.	I am already looking forward to the holidays.
freuen (sich) über	verb		Sie hat sich sehr über das Geschenk gefreut.	She was very pleased about the present.
Führung	noun	die	Die Führung durch das Schloss dauert eine Stunde.	The guided tour of the castle lasts an hour.
Kurs	noun	der	Der Kurs für den Euro ist heute günstig.	The exchange rate for the euro is favourable today.
lauwarm	adjective		Das Wasser im Pool war nur lauwarm.	The water in the pool was only lukewarm.
Niederschlag	noun	der	Für morgen ist wenig Niederschlag gemeldet.	Little precipitation is forecast for tomorrow.
Reiseführer	noun	der	Im Reiseführer steht alles über die Stadt.	Everything about the town is in the tourist guide.
Rolltreppe	noun	die	Die Rolltreppe im Kaufhaus war außer Betrieb.	The escalator in the department store was out of order.
Rundgang / Rundfahrt	noun	der	Der Rundgang durch die Altstadt war interessant.	The guided tour of the old town was interesting.
Schatten	noun	der	Bei der Hitze suchten wir Schatten.	In the heat we looked for shade.
Tropfen	noun	der	Ein paar Tropfen Regen sind gefallen.	A few drops of rain fell.
veränderlich	adjective		Das Wetter im April ist sehr veränderlich.	The weather in April is very changeable.
verändern (sich)	verb		Das Wetter hat sich über Nacht verändert.	The weather changed overnight.
wechselhaft	adjective		Im Frühling ist das Wetter oft wechselhaft.	In spring the weather is often changeable.
